empresa,Nombre,status,partind,naics1,naics2,SectorEconomatica
EPZM_old,"Epizyme, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
EP_old,El Paso Corp,cancelado,,"Transportes, correos y almacenamiento",Transporte de gas natural por ductos,Petróleo y Gas
EQ,"Equillium, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
EQBK,Equity Bancshares Inc,activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
EQC,Equity Commonwealth,activo,,Servicios financieros y de seguros,Otros fondos,Fondos
EQFN_old,Equitable Financial Corp,cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
EQH,Equitable Hldg Inc,activo,,Servicios financieros y de seguros,Servicios relacionados con los seguros y las fianzas,Finanzas y Seguros
EQIX,"Equinix, Inc",activo,.19,Servicios financieros y de seguros,Otros fondos,Fondos
EQR,Equity Residential,activo,.05,Servicios financieros y de seguros,Otros fondos,Fondos
EQRX_old,"Eqrx, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
EQT,EQT Corp,activo,.04,"Minería, explotación de canteras y extracción de petróleo y gas",Extracción de petróleo y gas,Petróleo y Gas
EQY_old,"Equity One, Inc",cancelado,,Servicios financieros y de seguros,Otros fondos,Fondos
EQ_old,Embarq Corp,cancelado,,Información en medios masivos,Operadores de servicios de telecomunicaciones alámbricas,Telecomunicación
ERAS,"Erasca, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ERB_old,"Erba Diagnostics, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ERIE,Erie Indemnity Company,activo,,Servicios financieros y de seguros,Servicios relacionados con los seguros y las fianzas,Finanzas y Seguros
ERII,"Energy Recovery, Inc",activo,,Industrias manufactureras,"Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica",Maquinaria Indust
ERNA,Eterna Therapeutics Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ERN_old,Erin Energy Corp,cancelado,,"Minería, explotación de canteras y extracción de petróleo y gas",Servicios relacionados con la minería,Minería
ERS_old,Empire Resources Inc,cancelado,,Comercio al por mayor,Comercio al por mayor de metal y mineral (excepto petróleo),Comercio
ES,Eversource Energy,activo,.05,"Empresas de electricidad, gas y agua","Generación, transmisión y suministro de energía eléctrica",Energía Eléctrica
ESAB,Esab Corp,activo,,Industrias manufactureras,"Fabricación de otros productos textiles, excepto prendas de vestir",Textil
ESA_old,Extended Stay America Inc,cancelado,,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,"Hoteles, moteles y similares",Otros
ESBK,Elmira Savings Bank NY,activo,,Industrias manufactureras,Otras industrias manufactureras,Otros
ESCA,"Escalade, Inc",activo,,Industrias manufactureras,Otras industrias manufactureras,Otros
ESE,Esco Technologies Inc,activo,,Industrias manufactureras,Fabricación de equipo de comunicación,Electroelectronic
ESGL_old,Esgl Hldg Limited,cancelado,,Industrias manufactureras,Otras industrias manufactureras,Otros
ESI,Element Solutions Inc,activo,,Industrias manufactureras,Fabricación de otros productos químicos,Química
ESIO_old,Electro Scientific Industries Inc,cancelado,,Industrias manufactureras,Fabricación de otros equipos y accesorios eléctricos,Electroelectronic
ESI_old,ITT Educational Services Inc,cancelado,,Servicios educativos,Servicios educativos,Otros
